"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","asm:asm","3.1","BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","asm:asm","3.3.1","BSD,BSD-3-Clause","","https://mvnrepository.com/artifact/asm/asm"
"java","axis:axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis"
"java","axis:axis-wsdl4j","1.5.1","CPL-1.0","","https://mvnrepository.com/artifact/axis/axis-wsdl4j"
"java","cglib:cglib","2.2.2","Apache-2.0","","https://mvnrepository.com/artifact/cglib/cglib"
"java","com.fasterxml.jackson.core:jackson-annotations","2.1.4","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations"
"java","com.fasterxml.jackson.core:jackson-core","2.1.4","Apache-2.0","Copyright (c) 2007 Tatu Saloranta, tatu.salorantaiki.fi/","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core"
"java","com.fasterxml.jackson.core:jackson-databind","2.1.4","Apache-2.0","Copyright 2011 Google Inc. All Rights Reserved.","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind"
"java","com.fasterxml.jackson.dataformat:jackson-dataformat-xml","2.4.5","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.dataformat/jackson-dataformat-xml"
"java","com.fasterxml.jackson.dataformat:jackson-dataformat-yaml","2.4.5","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.dataformat/jackson-dataformat-yaml"
"java","com.fasterxml.jackson.datatype:jackson-datatype-joda","2.4.5","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.datatype/jackson-datatype-joda"
"java","com.fasterxml.jackson.jaxrs:jackson-jaxrs-base","2.4.5","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base"
"java","com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider","2.4.5","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider"
"java","com.fasterxml.jackson.module:jackson-module-jaxb-annotations","2.4.5","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.module/jackson-module-jaxb-annotations"
"java","com.github.stephenc.jcip:jcip-annotations","1.0-1","Apache-2.0","Copyright 2013 Stephen Connolly.","https://mvnrepository.com/artifact/com.github.stephenc.jcip/jcip-annotations"
"java","com.google.code.findbugs:annotations","2.0.1","LGPL-2.1-only","","https://mvnrepository.com/artifact/com.google.code.findbugs/annotations"
"java","com.google.guava:guava","18.0","Apache-2.0","","https://mvnrepository.com/artifact/com.google.guava/guava"
"java","com.ibm.async:asyncutil","0.1.0","Apache-2.0","","https://mvnrepository.com/artifact/com.ibm.async/asyncutil"
"java","com.itextpdf:itext-pdfa","5.5.0","AGPL-3.0","","https://mvnrepository.com/artifact/com.itextpdf/itext-pdfa"
"java","com.itextpdf:itextpdf","5.5.0","AGPL-3.0","","https://mvnrepository.com/artifact/com.itextpdf/itextpdf"
"java","com.oracle:ojdbc14","10.2.0.3.0","CDDL-1.1,AAL,OCCT-PL","","https://mvnrepository.com/artifact/com.oracle/ojdbc14"
"java","com.sun.activation:jakarta.activation","1.2.2","EDL-1.0","","https://mvnrepository.com/artifact/com.sun.activation/jakarta.activation"
"java","com.sun.istack:istack-commons-runtime","3.0.10","CDDL-1.1,EDL-1.0","","https://mvnrepository.com/artifact/com.sun.istack/istack-commons-runtime"
"java","com.sun.mail:jakarta.mail","1.6.5","GPLV2+CE,EDL-1.0,EPL-2.0","","https://mvnrepository.com/artifact/com.sun.mail/jakarta.mail"
"java","com.sun.mail:mailapi","1.4.4","CDDL,GPLV2+CE","","https://mvnrepository.com/artifact/com.sun.mail/mailapi"
"java","com.sun.mail:smtp","1.4.4","libpng-2.0,EPL-2.0","","https://mvnrepository.com/artifact/com.sun.mail/smtp"
"java","commons-beanutils:commons-beanutils","1.8.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-codec:commons-codec","1.15","Apache-2.0","Copyright 2002-2024 The Apache Software Foundation","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-collections:commons-collections","3.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-digester:commons-digester","2.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-digester/commons-digester"
"java","commons-discovery:commons-discovery","0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-httpclient:commons-httpclient","3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io:commons-io","2.5","Apache-2.0","","https://mvnrepository.com/artifact/commons-io/commons-io"
"java","commons-lang:commons-lang","2.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-net:commons-net","3.6","Apache-2.0","","https://mvnrepository.com/artifact/commons-net/commons-net"
"java","io.smallrye.common:smallrye-common-annotation","1.6.0","Apache-2.0","","https://mvnrepository.com/artifact/io.smallrye.common/smallrye-common-annotation"
"java","io.smallrye.common:smallrye-common-classloader","1.6.0","Apache-2.0","","https://mvnrepository.com/artifact/io.smallrye.common/smallrye-common-classloader"
